LoanID,Application_ID,PortfolioID,ApplicationDate,Payin_120days
I2034591-0,88496050,1,55:53.0,0.427777
I1934499-0,123759435,5,21:42.0,3.031818
I2031430-0,88443051,1,04:33.0,1.20893
I2135045-0,92071199,7,27:38.0,1.133333
I2153109-0,92967020,7,13:18.0,0.79
I2088419-0,90599346,7,14:54.0,2.31
I2277850-0,99633549,7,26:49.0,1.05
I2099409-0,90862153,7,27:01.0,0
I2202614-0,94818514,7,06:37.0,2.31
I2119744-0,91417159,7,08:38.0,1.025
I1967236-0,101367079,6,19:47.0,0.5
I2256372-0,134611226,5,35:41.0,1.753575
I2153600-0,105194711,6,36:24.0,1.08572
I2086626-0,89499040,1,18:57.0,1.8
I2137945-0,129625477,5,02:02.0,2.293333
I2109821-0,103771427,6,34:00.0,1.07
I2214987-0,95335890,7,22:49.0,1.25
I2171962-0,130939591,5,08:47.0,0.5
I2145465-0,129924227,5,37:13.0,1.45
I2128502-0,104267353,6,31:36.0,1.3
I2287213-0,136438851,5,52:05.0,2.3125
I1915160-0,99772032,6,07:15.0,2.15
I1969437-0,125082925,5,16:41.0,2.5
I2146073-0,129948239,5,35:21.0,2.381666
I2166703-0,93525313,7,41:10.0,0.223333
I1966309-0,124979712,5,43:55.0,1.223076
I2230164-0,96195422,7,00:22.0,1.025
I2275082-0,99458361,7,42:24.0,1.125
I2296661-0,97941249,1,12:52.0,1.15
I2373156-0,114918488,6,37:56.0,1
I2172982-0,105816912,6,15:54.0,1.171425
I2161735-0,93320711,7,07:15.0,1.0375
I2357807-0,103685414,7,59:33.0,1.9
I1973786-0,101511141,6,04:36.0,0
I2115028-0,91256004,7,00:36.0,0
I1955025-0,87424116,7,02:15.0,1.9375
I1947717-0,124331935,5,01:03.0,0.633333
I2304233-0,112040142,6,17:40.0,0
I1959728-0,124746772,5,35:17.0,0.6
I2143696-0,92512028,7,10:28.0,2.591666
I2147401-0,104992215,6,04:59.0,2.274285
I2161312-0,130547567,5,44:02.0,2.16
I1985556-0,101734101,6,15:03.0,0
I2107844-0,89920785,1,14:07.0,1.264285
I2209079-0,131954148,5,23:47.0,1.475
I2135356-0,129484824,5,22:50.0,1.533333
I2178370-0,105913434,6,47:59.0,2.39294
I1972736-0,101483731,6,18:30.0,2.31
I2044449-0,89522933,7,59:14.0,0.3
I2149269-0,92780263,7,49:41.0,1
I2107576-0,128455050,5,29:29.0,1
I2151019-0,92875897,7,57:23.0,2.423106
I2012906-0,88122369,1,04:26.0,1
I2198382-0,106460308,6,16:10.0,0.266666
I2116091-0,103949545,6,02:58.0,2.233333
I2126207-0,104199782,6,58:20.0,1.4
I2072382-0,127505621,5,33:10.0,1.15
I2388227-0,140610938,5,01:57.0,0.6
I2248073-0,134156221,5,15:41.0,2.5575
I1977613-0,125351842,5,51:03.0,1.8621
I2231118-0,96271993,7,45:25.0,1.05
I1933130-0,86711884,7,57:43.0,1.212833
I2376122-0,140049694,5,15:59.0,1.66
I2135419-0,129488608,5,59:29.0,2.838566
I1919693-0,123002871,5,53:23.0,0.56875
I2078532-0,103183309,6,25:36.0,0.9
I2250277-0,134260452,5,02:47.0,1.0952
I2025196-0,88321757,1,50:58.0,1.967777
I2107263-0,89910888,1,25:27.0,0.2
I2354316-0,114163406,6,07:24.0,2.591666
I2042968-0,89475660,7,49:24.0,0.3
I2014113-0,126141349,5,12:10.0,2.591666
I2261796-0,134955450,5,25:41.0,1.0361
I2019265-0,88228469,1,15:26.0,1.525
I2029637-0,102349028,6,46:30.0,1.475
I1923236-0,86307658,7,35:23.0,1.03
I2075436-0,90266206,7,44:59.0,2.366666
I1918969-0,122951409,5,01:47.0,1.978571
I2110172-0,89941729,1,22:29.0,1.888888
I2118353-0,91382952,7,16:44.0,1
I2241852-0,97184569,7,10:31.0,2.116666
I2243111-0,94895545,1,29:07.0,1.8
I2371811-0,114857892,6,11:14.0,1.49
I1978930-0,88037007,7,44:02.0,1.78
I2043993-0,89508956,7,53:25.0,2.042857
I2276360-0,99534318,7,39:25.0,1.244444
I2056586-0,88954635,1,48:07.0,0.4
I2366042-0,100867670,1,04:35.0,2.285
I2064099-0,127380466,5,09:38.0,0.75
I2031331-0,126522583,5,57:30.0,1.1
I2269239-0,99067377,7,49:59.0,0
I2380646-0,115207019,6,58:35.0,0.6
I2268247-0,135356335,5,20:32.0,0.3
I2025351-0,126374468,5,35:58.0,0.2
I2118027-0,91365251,7,58:40.0,0.9
I2126941-0,129038318,5,13:31.0,1
I2115353-0,128645533,5,15:00.0,1.725
I2009321-0,88064790,1,17:29.0,1.125
I2041247-0,89416998,7,42:32.0,1.13125
I1916884-0,99840975,6,04:09.0,1.18
I2296829-0,111721093,6,26:16.0,1.083333
I1913551-0,99708627,6,42:46.0,0.8
I2035526-0,102446999,6,05:41.0,2.565
I1960400-0,87246598,1,34:58.0,1.6
I1987121-0,87753354,1,56:44.0,2
I2352839-0,114094503,6,20:31.0,1.760714
I2110595-0,128487405,5,25:20.0,1.63125
I2110779-0,89942018,1,23:26.0,3.20929
I2071303-0,90148293,7,33:30.0,1.04762
I1980473-0,101632033,6,02:53.0,0
I2249210-0,95243190,1,46:26.0,1.27857
I2194174-0,94437783,7,00:07.0,1.55
I2060850-0,127317636,5,59:35.0,0
I1930671-0,100347281,6,25:11.0,0
I2195749-0,106342051,6,41:44.0,1.86
I2030866-0,102371525,6,17:11.0,1.18
I2260374-0,95903849,1,57:44.0,1.2
I2361544-0,114458559,6,48:59.0,1.98643
I2060370-0,89022627,1,52:45.0,0.6
I2110325-0,128487270,5,58:58.0,1.675
I2378223-0,101295192,1,24:55.0,0
I2101893-0,103610554,6,07:17.0,1.765233
I2042399-0,102580485,6,19:17.0,0.275
I1967412-0,125015463,5,28:51.0,0.3
I2323252-0,102104325,7,07:43.0,0
I2219620-0,132374008,5,40:49.0,2.62
I2150205-0,105090644,6,13:21.0,0.258333
I2154042-0,92985347,7,45:42.0,1.983333
I2370391-0,104210819,7,22:48.0,0.366666
I2037369-0,126677941,5,34:28.0,2
I2358977-0,103751897,7,42:06.0,2.52
I2187117-0,92322840,1,03:30.0,2.97875
I1913688-0,122692284,5,32:11.0,0.3
I2292140-0,97748682,1,07:57.0,1.3
I2027000-0,89043579,7,13:21.0,1
I2146921-0,91214617,1,31:47.0,0.275
I2206048-0,94954091,7,08:11.0,1.1
I2021456-0,88903072,7,57:32.0,1.97
I1997155-0,87887453,1,37:52.0,1.90625
I2211266-0,93087331,1,34:53.0,1.14375
I2044021-0,126860082,5,59:46.0,2.377142
I2001081-0,101934875,6,33:31.0,1.425
I1981926-0,101663279,6,23:48.0,0.5
I2108945-0,103771064,6,47:29.0,2.359021
I2390636-0,105060955,7,51:41.0,1.1
I1969802-0,87814562,7,57:20.0,1.05
I2288009-0,97539356,1,20:23.0,0.6
I2118185-0,128745991,5,33:30.0,0.356666
I2016329-0,88796603,7,01:38.0,0
I2099033-0,89729839,1,28:25.0,3
I1982883-0,101684893,6,34:09.0,1
I2188544-0,131305062,5,36:20.0,2.495
I2394983-0,102115001,1,15:57.0,1.25
I2339685-0,99721275,1,10:15.0,1
I2176043-0,131029968,5,58:23.0,1.5
I2057613-0,89878241,7,12:21.0,1.091666
I2388322-0,101781962,1,26:27.0,0.6
I2330119-0,99345225,1,19:03.0,0.9
I2122612-0,91504027,7,34:23.0,0.3
I2308712-0,98485308,1,14:24.0,1.724137
I1929016-0,86347454,1,51:32.0,2.8581
I2009609-0,88070028,1,32:51.0,0.6
I1936873-0,100577088,6,24:58.0,2.015
I2107041-0,103733165,6,48:30.0,0.9
I2138316-0,92231094,7,50:58.0,3.12
I2344973-0,103065956,7,48:14.0,2
I2279921-0,136019895,5,01:40.0,3.136
I2118220-0,128746000,5,40:44.0,1.08258
I2107194-0,103737940,6,01:41.0,1
I1991103-0,125684134,5,12:27.0,2.075
I2226385-0,107589605,6,42:20.0,2.99
I2106356-0,103718910,6,00:07.0,2.851428
I2037962-0,89331297,7,58:05.0,0
I2155706-0,130335635,5,26:13.0,0.279166
I2027246-0,126411770,5,09:49.0,0
I2211700-0,132028493,5,17:23.0,1.154166
I2040174-0,102535817,6,04:05.0,2.8
I2187609-0,92340464,1,43:07.0,0
I2182938-0,131168763,5,34:25.0,0
I2111859-0,128487784,5,11:38.0,1.926666
I2213484-0,93146622,1,27:33.0,1.140909
I2240813-0,133781353,5,31:42.0,2.54714
I1947461-0,87193756,7,55:40.0,1.35
I1985333-0,101730673,6,20:01.0,1.281428
I2281071-0,110957585,6,41:32.0,2.5
I2392114-0,105133096,7,27:00.0,1.328
I2221435-0,95714109,7,20:37.0,2
I2249385-0,97641735,7,52:15.0,0.8
I2251147-0,134307626,5,45:41.0,1.6
I1923713-0,86325706,7,59:10.0,1.165
I2218901-0,93393990,1,57:15.0,2.775
I2282221-0,136163620,5,23:17.0,1.12855
I2266237-0,98852542,7,24:18.0,1.554545
I2266465-0,110116793,6,34:13.0,1.172216
I2123520-0,90282109,1,16:03.0,1
I2328367-0,99272949,1,14:59.0,1.04
I2329888-0,138211105,5,16:58.0,0
I1917721-0,86056698,7,54:00.0,1.9
I2154568-0,105226225,6,32:34.0,1.833333
I2089316-0,127936856,5,47:42.0,1.3
I2318577-0,98894170,1,33:14.0,0
I2132463-0,129320600,5,59:31.0,1.248275
I2194314-0,106301977,6,41:59.0,3.135714
I2324850-0,102169877,7,50:57.0,1.05
I2045655-0,88722870,1,51:57.0,2.766666
I2301615-0,111925341,6,13:10.0,0
I2034315-0,126589709,5,32:21.0,0.6
I2213798-0,107008232,6,53:34.0,2.7875
I2162525-0,130604820,5,28:56.0,0
I2150277-0,105091255,6,42:28.0,2.5575
I2165488-0,105575295,6,04:41.0,1.116666
I2165698-0,130707172,5,57:21.0,1
I2111797-0,91119746,7,58:00.0,2.586666
I2042318-0,88664242,1,35:30.0,0.7
I2177317-0,131048845,5,31:07.0,1.185971
I2217635-0,95487885,7,19:42.0,1.145575
I1975602-0,101548315,6,43:30.0,1.4375
I2000410-0,101926510,6,44:20.0,0.8
I2289156-0,111390266,6,18:13.0,2.5125
I2251093-0,109155551,6,23:30.0,2.04714
I2338431-0,138528808,5,46:23.0,0.2
I2115783-0,103942490,6,31:11.0,1.8
I2070619-0,103037653,6,57:39.0,0.951428
I2331223-0,138264674,5,16:05.0,1.1
I2131606-0,91894515,7,03:48.0,2.875
I2188326-0,106150687,6,05:54.0,1
I2246566-0,108912462,6,23:17.0,0
I2070997-0,90147745,7,24:12.0,2.9
I2217831-0,132292759,5,09:26.0,0.795
I2383969-0,140381060,5,25:52.0,1.166253
I1935686-0,86792984,7,17:28.0,1.6
I1988662-0,88218171,7,25:40.0,1.2
I2052677-0,127117669,5,52:28.0,1.05
I2129856-0,129179742,5,24:21.0,0
I1927526-0,86479613,7,33:32.0,2.62
I2129374-0,129147905,5,08:59.0,1.14167
I2140049-0,104740181,6,07:13.0,0
I1934816-0,100506687,6,16:50.0,0.641666
I2212301-0,106953211,6,30:33.0,1.025
I1996945-0,125789008,5,25:12.0,1.081111
I2211952-0,132035485,5,06:09.0,1.125
I2224284-0,132597480,5,32:57.0,0.55
I1935655-0,100530589,6,58:44.0,0.7
I2123401-0,104123807,6,44:35.0,1.187142
I2220533-0,95667986,7,21:26.0,1
I2270441-0,110344221,6,00:15.0,1.5
I2111177-0,89942148,1,55:48.0,1.009375
I2259081-0,98354705,7,28:41.0,3.07
I2277811-0,110751628,6,06:48.0,1.498437
I1924191-0,86348839,7,37:19.0,1.25
I1924488-0,86216380,1,49:37.0,0.6
I2131259-0,129258887,5,31:03.0,1
I2136245-0,90799923,1,03:59.0,1.383333
I2339585-0,113471444,6,42:52.0,1.17
I2325957-0,112941698,6,00:39.0,0.333333
I2206190-0,92912278,1,12:40.0,0.5
I2389131-0,101842878,1,28:23.0,1.25
I2398267-0,116175655,6,17:17.0,1.013333
I2082231-0,127758045,5,31:34.0,0.3
I1957303-0,87504422,7,53:02.0,2.591666
I2021145-0,126290411,5,34:54.0,0.566666
I2047116-0,88756254,1,13:37.0,0.3
I2215471-0,95370285,7,52:09.0,2.31
I2036860-0,89304920,7,23:33.0,1.8
I2305234-0,98341247,1,29:55.0,2.883333
I2188230-0,106146791,6,17:37.0,1
I2305102-0,137235683,5,26:10.0,0.8
I1921417-0,123102416,5,18:59.0,2.591666
I2311633-0,101576732,7,53:13.0,1.3
I2209860-0,95127025,7,50:03.0,2.65
I1921491-0,123108674,5,04:38.0,0.3
I1997445-0,125800792,5,04:13.0,1.10225
I2269334-0,110283234,6,41:33.0,1.05
I2069863-0,103027375,6,16:23.0,2.316666
I2314640-0,137619344,5,40:48.0,0.8
I2004098-0,87987469,1,15:55.0,1.066666
I1989724-0,87782272,1,57:17.0,0.3
I1923822-0,86188140,1,43:50.0,2.041666
I2163274-0,105514884,6,33:02.0,1.61238
I2371241-0,139879091,5,26:05.0,2.28333
I2080762-0,103217635,6,29:44.0,1.32
I2205888-0,106715269,6,02:30.0,2.701183
I2219997-0,132395130,5,58:21.0,1.008333
I2067705-0,127450106,5,46:10.0,0.3
I2384625-0,104757942,7,03:49.0,2.075
I2213564-0,132087608,5,22:16.0,0.2
I2228274-0,132831130,5,07:39.0,0.5
I2323652-0,137980899,5,50:36.0,1.8
I2165548-0,91799677,1,52:38.0,0.64
I2074388-0,103091517,6,45:49.0,0.3
I2132624-0,90625157,1,24:16.0,1.135
I2374110-0,104344515,7,04:54.0,1.97
I2379357-0,140186893,5,27:47.0,1.05
I2150771-0,105109261,6,04:54.0,1.8
I2212038-0,132035530,5,26:46.0,2.62
I2227376-0,93748008,1,02:37.0,2.24714
I2070010-0,127483577,5,54:51.0,2.383333
I2197439-0,94573068,7,31:53.0,2.09625
I2051580-0,89719365,7,54:40.0,0.3
I1972493-0,87893854,7,10:14.0,1.246428
I2283681-0,97305850,1,51:25.0,1.654837
I2348713-0,100159187,1,29:23.0,0
I2309582-0,137426904,5,35:21.0,2.478575
I2170278-0,93706613,7,38:19.0,0.3
I2352541-0,103477164,7,39:47.0,1.764287
I2328701-0,102319627,7,37:49.0,0.825
I2190315-0,106205060,6,14:24.0,1.28
I2042479-0,89453431,7,52:59.0,1.075
I2160066-0,93255130,7,35:27.0,2.656666
I2185842-0,106076119,6,38:05.0,1.881764
I2114506-0,90050909,1,09:53.0,1
I2216579-0,107172476,6,49:30.0,0
I2321818-0,137915304,5,57:43.0,1.175
I1918726-0,86118310,7,19:29.0,2.097622
I2108924-0,128486552,5,24:53.0,1.25
I2366961-0,104098536,7,32:45.0,0.3
I2163627-0,130639135,5,58:01.0,1.85
I2025466-0,88326625,1,04:13.0,2.08635
I2154412-0,105220200,6,43:33.0,1.35
I2262651-0,135014299,5,24:05.0,3.11
I2064458-0,90027759,7,55:09.0,0.8
I2216717-0,132256911,5,13:17.0,1.05
I2256577-0,134619976,5,32:47.0,1.630675
I2290585-0,136609563,5,43:16.0,2.0125
I2081614-0,103229486,6,27:51.0,0
I1998973-0,88418781,7,56:09.0,1.65
I2118096-0,104000609,6,42:56.0,0
I1918317-0,86074136,7,19:07.0,0
I2390618-0,115789349,6,42:43.0,1.833333
I2157288-0,130391279,5,06:55.0,1.2
I2086970-0,127884925,5,59:46.0,2.675
I2109266-0,89941209,1,44:57.0,1.4
I2326560-0,102240637,7,13:55.0,0
I2179064-0,131074362,5,25:20.0,1.161538
I2363692-0,100789580,1,56:27.0,1.2
I2215876-0,107129543,6,01:55.0,0.9
I2151113-0,130158496,5,56:22.0,1.3
I2188324-0,92361430,1,04:09.0,1.39
I1969474-0,125083999,5,33:40.0,2.9
I2013450-0,88131742,1,38:30.0,1.366666
I1923837-0,100125738,6,49:50.0,0.583333
I2039264-0,102516657,6,48:42.0,1.627777
I2233261-0,94185261,1,58:26.0,1.76875
I2101387-0,90909467,7,50:52.0,1.043333
I1992546-0,88298975,7,15:12.0,1.5
I2388941-0,104982057,7,59:50.0,1.745
I2170940-0,130912103,5,40:05.0,1
I2053062-0,89774359,7,06:53.0,1.05
I1986257-0,101743417,6,28:21.0,1.561906
I2152857-0,92959986,7,31:28.0,0.2
I2061270-0,89950012,7,17:14.0,1.1916
I2307800-0,101394873,7,20:34.0,0.3
I2164714-0,91783189,1,11:29.0,1.15
I2330831-0,138236122,5,46:34.0,0.26875
I2119590-0,104026735,6,39:11.0,0.225
I1982591-0,125492920,5,29:19.0,1.125
I2286910-0,136416708,5,29:59.0,0.63
I2252028-0,97835383,7,33:42.0,1.58875
I2368114-0,139737641,5,43:23.0,1.05
I2065199-0,90044095,7,12:03.0,0.8
I2383391-0,115330862,6,42:19.0,1
I2356320-0,100465085,1,40:39.0,1.2
I2110904-0,103778157,6,35:53.0,0.85
I2313575-0,101655118,7,09:36.0,2.7235
I2069606-0,90124826,7,09:44.0,1.6
I2030295-0,88419029,1,03:28.0,1.09524
I2009709-0,88638652,7,00:15.0,2.883333
I2253879-0,134458030,5,04:59.0,1.6
I2054149-0,127169440,5,17:40.0,1.3
I2181161-0,105977178,6,46:30.0,1
I2310985-0,101559015,7,34:29.0,2.7
I2223329-0,93579995,1,37:44.0,0
I2213856-0,93159007,1,21:24.0,1.12
I2328579-0,113029390,6,53:18.0,1.2143
I2239627-0,94696999,1,55:35.0,0.515
I2027096-0,126409009,5,36:31.0,2.955555
I2071978-0,90171740,7,10:27.0,2.62
I2167211-0,130752910,5,46:09.0,2.3
I2024183-0,88986879,7,43:32.0,1.2
I2351235-0,139067161,5,19:22.0,1.05
I1941757-0,86771260,1,58:35.0,1.67
I2273199-0,96655111,1,46:49.0,2.9
I2207387-0,95018160,7,03:46.0,2.5
I2077305-0,127650269,5,28:53.0,2.31
I2222801-0,132533797,5,13:13.0,1.9375
I2385138-0,140442916,5,36:12.0,1
I2002143-0,88494623,7,04:47.0,1.15
I2138455-0,92235199,7,39:13.0,1.89
I2355723-0,114223165,6,57:21.0,1
I2085682-0,127849827,5,25:11.0,1.3
I2106017-0,103708025,6,37:38.0,1.041666
I2079623-0,127697987,5,47:16.0,2.95875
I2077824-0,90330416,7,25:56.0,1
I2149247-0,130091381,5,33:15.0,0.3
I1957030-0,124650505,5,22:47.0,1.783333
I2149041-0,92769522,7,31:43.0,1
I2166183-0,91810332,1,30:51.0,2.285
I2139048-0,90907007,1,35:08.0,1.25
I2244739-0,94999889,1,06:02.0,1.25
I2156104-0,130355041,5,09:11.0,1.723933
I2261867-0,98544426,7,07:07.0,1.125
I2029228-0,89099119,7,34:28.0,1.38
I2133807-0,129400934,5,34:17.0,0.25
I2163759-0,105530166,6,26:31.0,0.7175
I2214360-0,95302357,7,47:53.0,2.00125
I2206768-0,94990255,7,49:34.0,0
I2366017-0,139676882,5,56:21.0,2.31
I2072809-0,90186619,7,36:57.0,0
I2126841-0,91642317,7,05:03.0,2.644444
I1918531-0,99897123,6,48:59.0,1.6875
I2074706-0,103102310,6,04:08.0,1.150475
I2157738-0,105331211,6,04:29.0,1.04737
I2030867-0,88432952,1,17:38.0,1.775
I2210907-0,132006834,5,56:21.0,0.716666
I2110527-0,103771829,6,11:32.0,1.192
I2251199-0,97769850,7,12:53.0,2.64025
I2110097-0,91119086,7,27:46.0,1.99286
I2285847-0,111208373,6,46:15.0,2.1857
I2068510-0,90107579,7,55:07.0,2.391818
I2134699-0,129452318,5,03:00.0,0.2
I2383160-0,115317560,6,23:56.0,1.625
I1917711-0,86056102,7,48:27.0,1
I2057740-0,127252734,5,41:37.0,1.41
I2235701-0,96716239,7,34:48.0,2.09876
I2328196-0,113016254,6,05:49.0,2.16
I2264945-0,98772358,7,06:16.0,0.544444
I2382839-0,104671122,7,15:55.0,1.2
I2348061-0,103254488,7,29:04.0,0.3
I2119285-0,90174513,1,12:09.0,1.966666
I1924560-0,123298672,5,19:18.0,0.15
I2192011-0,92459460,1,24:30.0,2
I1920582-0,99977787,6,47:29.0,2.623037
I1913785-0,85902213,7,04:08.0,1.2875
I2219385-0,107302281,6,08:55.0,1.384122
I2206528-0,94975495,7,11:01.0,1.748925
I2255445-0,98047222,7,23:38.0,0.25
I2133579-0,91994511,7,14:30.0,2.17
I2046935-0,126951960,5,19:58.0,1.40714
I1974055-0,101514872,6,58:29.0,0
I2315713-0,98780094,1,37:57.0,2.52
I2107059-0,91077977,7,03:26.0,1.20357
I2275615-0,110626443,6,05:11.0,0
I2335427-0,113305986,6,25:43.0,2.252307
I2315476-0,137666904,5,57:24.0,0
I2216347-0,93281624,1,44:18.0,0.9
I2332527-0,113189273,6,28:55.0,0
I2054535-0,89813392,7,21:08.0,0.3
I2382824-0,101492440,1,08:29.0,2.450075
I2161551-0,93315122,7,56:05.0,1.886666
I2107748-0,91096095,7,15:22.0,0.13325
I1951436-0,101030009,6,42:50.0,0.708333
I2350201-0,103364690,7,13:12.0,1
I2370367-0,114803671,6,13:51.0,1.3
I2174346-0,105846175,6,47:42.0,1.25
I2194915-0,131466300,5,18:05.0,0
I2130587-0,129222454,5,12:56.0,0.55
I2219725-0,93425626,1,22:43.0,1.16
I2001335-0,88470646,7,05:57.0,0.8
I2273962-0,110549219,6,01:35.0,1.3
I2246015-0,108888451,6,19:24.0,0
I2117102-0,128700878,5,23:35.0,0
I1997783-0,87899093,1,30:24.0,1.3
I2189204-0,94268411,7,19:29.0,1
I2273385-0,135651462,5,46:25.0,1.8
I2228699-0,132876290,5,59:30.0,1.8
I1924527-0,86216757,1,29:23.0,2
I2261029-0,109779798,6,24:01.0,1.4516
I2200061-0,92716082,1,03:50.0,2.555454
I1921910-0,100040362,6,56:15.0,1.06428
I2358708-0,139394648,5,06:14.0,0
I2248971-0,97625674,7,05:29.0,0.4
I2389150-0,115695286,6,38:54.0,1
I2131142-0,91873334,7,14:57.0,1.2
I2064760-0,90033531,7,28:09.0,2.1225
I2166073-0,93509109,7,13:00.0,1.15
I2147504-0,92699470,7,13:44.0,2.17855
I2109653-0,128486888,5,12:56.0,2.1
I1979322-0,125392338,5,28:59.0,1.25
I1944227-0,124175628,5,47:33.0,0.341666
I2241635-0,133820589,5,13:02.0,1.49
I2335633-0,113310478,6,47:09.0,0
I2098670-0,90843111,7,44:36.0,1.157142
I2167229-0,130753611,5,34:07.0,1.3
I2194026-0,106300195,6,01:38.0,1.1125
I1975678-0,87956811,7,17:59.0,1.221666
I2387917-0,101757328,1,23:52.0,1.72857
I2298038-0,98022441,1,08:13.0,1.8
I2394132-0,105198797,7,35:02.0,0.3
I2359278-0,139407636,5,23:11.0,2.62
I2398019-0,116170951,6,39:46.0,1.075
I2119171-0,104023122,6,59:13.0,1.327416
I2065516-0,89101136,1,17:54.0,1.15
I2152618-0,130229236,5,19:56.0,1.133333
I2155516-0,91487183,1,40:48.0,0
I1950429-0,124429625,5,04:20.0,1.6
I1917294-0,86035211,7,36:01.0,2.21
I2277153-0,110702042,6,08:23.0,0.3
I2328126-0,138134765,5,35:55.0,0
I2034542-0,89249184,7,41:11.0,1.057142
I2263845-0,135072509,5,39:45.0,1.861906
I2324424-0,138020821,5,27:34.0,1.75
I2127151-0,104223767,6,31:56.0,2.57
I2285877-0,111211828,6,19:20.0,0.4875
I2181017-0,105973327,6,10:50.0,1.223684
I2345348-0,113731081,6,38:19.0,0
I2219714-0,93425333,1,20:11.0,0.3
I2024373-0,102257094,6,35:47.0,1.154166
I1996267-0,87877782,1,49:44.0,1.3
I2282155-0,111011955,6,16:22.0,2.334
I1952453-0,124502913,5,27:01.0,0.883333
I2152988-0,130245579,5,13:21.0,1.684615
I2010638-0,88088931,1,30:45.0,0.8
I1931440-0,86611793,7,43:25.0,2.542857
I2273847-0,135689805,5,55:37.0,0.3
I2301189-0,137060350,5,52:38.0,1.171113
I2044309-0,102604790,6,12:39.0,1.125
I2380288-0,140227787,5,12:38.0,1.895
I2391370-0,101953726,1,05:03.0,1.0857
I2191563-0,106241530,6,06:56.0,0
I2253750-0,134453745,5,10:13.0,0
I2253867-0,109318431,6,59:15.0,0.15
I2020555-0,88250996,1,47:23.0,0
I2279576-0,99734391,7,12:06.0,0
I2069915-0,127483521,5,50:26.0,0.79
I2169238-0,105721509,6,18:19.0,3.145
I2394399-0,140945817,5,18:38.0,1.05
I2134952-0,90744127,1,41:39.0,1.675714
I2051514-0,102756242,6,20:39.0,1.45
I2303295-0,137134956,5,13:20.0,1.97
I2261871-0,109832194,6,08:09.0,0.15625
I1985451-0,125578578,5,52:43.0,1.299466
I2159713-0,93239297,7,34:11.0,2.26
I2361841-0,139494116,5,46:19.0,2.603333
I2185404-0,106064128,6,32:04.0,1.892857
I2360907-0,114435967,6,11:41.0,1.41895
I2271096-0,135521921,5,56:59.0,1
I2388392-0,140626754,5,24:27.0,1.44
I2109369-0,103771234,6,12:16.0,2.98
I2073345-0,89211118,1,29:33.0,1.171428
I2287863-0,136475001,5,11:50.0,1.54
I2162395-0,130597867,5,49:22.0,1.175
I2238741-0,108460172,6,53:16.0,1.39706
I2286260-0,97448970,1,11:03.0,0.6
I2251066-0,109154749,6,15:27.0,1.641176
I2094085-0,128048433,5,20:23.0,2.931428
I2281350-0,110968888,6,31:07.0,1
I2204271-0,106668621,6,10:12.0,2.75744
I1981106-0,87653453,1,22:38.0,1.383333
I2309487-0,98529586,1,52:55.0,0.366666
I2006731-0,125979531,5,56:07.0,1.6
I2217890-0,107226111,6,46:29.0,1.3
I2226139-0,93676886,1,02:32.0,1.45
I2152210-0,130213590,5,20:02.0,1.135
I2196711-0,94539688,7,09:56.0,1.278566
I2200086-0,106519733,6,14:47.0,1.75
I2031171-0,102377893,6,19:04.0,0.6
I2214894-0,107066222,6,24:40.0,2.58875
I2170286-0,130889822,5,02:35.0,1.135
I2158743-0,91592695,1,34:33.0,2.565
I2366636-0,114666500,6,41:25.0,0
I2350719-0,103382812,7,41:23.0,1
I2338974-0,138539515,5,05:45.0,0.6
I2294189-0,111609907,6,05:15.0,1.1
I2199446-0,106497797,6,44:22.0,0.858333
I2235818-0,133473808,5,15:17.0,2.21
I2327637-0,102266203,7,56:10.0,2.527777
I2139699-0,104727646,6,53:34.0,1.76875
I2264112-0,98726047,7,57:48.0,3.03
I2060310-0,89021558,1,38:28.0,1.6
I2263708-0,98682881,7,01:42.0,2.62
I2112536-0,103828526,6,06:09.0,1
I2238005-0,94568937,1,31:45.0,1.62214
I2170011-0,93697402,7,35:33.0,0.3
I2224094-0,132586497,5,51:21.0,1.311906
I2290318-0,136584605,5,38:49.0,1.97143
I2029281-0,102342037,6,00:07.0,2.25
I2020100-0,88240059,1,10:58.0,2.05
I2028717-0,88385680,1,53:10.0,1.0575
I2203473-0,94850480,7,54:15.0,1.2422
I2262606-0,96047315,1,05:03.0,0
I2002289-0,101941167,6,10:54.0,0.3
I2288877-0,97569627,1,44:59.0,0.475
I2064920-0,127391916,5,07:53.0,1.4425
I2197384-0,131543125,5,29:15.0,0.6
I2014355-0,88758579,7,03:12.0,0
I2096680-0,128113354,5,02:31.0,1.371428
I2278013-0,135902122,5,53:05.0,2.31
I2236776-0,96796057,7,21:54.0,1.6888
I2037906-0,89329699,7,35:25.0,0
I2305799-0,112122715,6,19:54.0,1.59812
I2252525-0,95423526,1,07:58.0,2
I2108694-0,91112620,7,31:51.0,2.45
I2126783-0,129036663,5,18:01.0,2.591666
I2122919-0,104111621,6,06:04.0,0
I2002522-0,88502154,7,09:56.0,1
I2083494-0,103272473,6,27:57.0,2.591428
I2106621-0,103727341,6,15:28.0,2.645
I2307367-0,137326789,5,48:08.0,0.54
I2039356-0,88595689,1,12:18.0,0.3
I2303025-0,101100300,7,08:28.0,1.9
I1961859-0,87287422,1,38:59.0,0.3
I2304194-0,137180347,5,47:49.0,1
I2010221-0,126052243,5,24:24.0,1.98
I2150661-0,105104558,6,44:20.0,0.733333
I2075237-0,90261736,7,27:11.0,1.025
I2229266-0,107765122,6,37:40.0,2.40441
